Last name,Latin first name,First name,Middle name,Order,Session I,Session II,Session III,Session IV,Wikipedia,Wikidata,VIAF,Worldcat identities,Find a Grave,Catholic Hierarchy,Selected mention,Status,# wikipedia pages,Country of origin/Country represented,Birth year,Death year,Age at start of council,Age at death,Highest Episcopal Title,Sainthood,Important,Photo no reuse,Photo reuse,Change during council,Memoir on the council,Typo,Credibly accused? (USA only),Humanae Vitae,Ethics Watch,Left priesthood,Notes
Abate,Antonius,Antonino,null,OP,1,1,1,1,null,https://www.wikidata.org/wiki/Q81310113,http://viaf.org/viaf/20978910,https://worldcat.org/identities/lccn-n80046449/,null,null,Subject of article,council,0,Italy,1921,1987,41,66,null,null,null,null,null,null,null,null,null,null,null,null,
Abellan,Petrus,Pedro,Maria,SJ,1,1,1,1,null,https://www.wikidata.org/wiki/Q113727931,http://viaf.org/viaf/88958059,https://worldcat.org/identities/viaf-88958059/,null,null,null,council,0,Spain,1905,2000,57,95,null,null,null,null,null,null,null,null,null,null,null,null,
Adam,,Karl ,null,null,null,null,null,null,https://en.wikipedia.org/wiki/Karl_Adam_(theologian),https://www.wikidata.org/wiki/Q63733,http://viaf.org/viaf/76354114,https://www.worldcat.org/identities/lccn-n88252870/,https://www.findagrave.com/memorial/103545756/karl-borrom%C3%A4us-adam,null,Mentioned in article,private,13,Germany,1876,1966,86,90,null,null,null,null,null,died,null,null,null,null,null,null,
Ahern,Barnabas,Barnabas,Mary,CP,1,1,1,1,null,https://www.wikidata.org/wiki/Q60949430,http://viaf.org/viaf/79425489,https://worldcat.org/identities/lccn-n86852163/,https://www.findagrave.com/memorial/92274263/barnabas-mary-ahern,null,Biography (article),council,0,USA,1915,1995,47,80,null,null,yes,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19641203-01.2.46&srpos=3&e=-------en-20--1--txt-txIN-barnabas+ahern-------,null,null,null,no,null,null,null,biblical scholar
Albareda,Ioseph Maria,Jose,Maria,null,1,1,1,1,https://en.wikipedia.org/wiki/Jos%C3%A9_Mar%C3%ADa_Albareda,https://www.wikidata.org/wiki/Q5942551,http://viaf.org/viaf/10944007,https://worldcat.org/identities/lccn-n84806101/,null,null,null,council,7,Spain,1902,1966,60,64,null,null,null,null,https://en.wikipedia.org/wiki/File:JMAlbareda1960.jpg,null,null,null,null,null,null,null,"soil scientist, friends with Josemaria Escriva"
Alting von Geusau,Leo,Leo,null,null,0,0,0,1,null,https://www.wikidata.org/wiki/Q97063563,http://viaf.org/viaf/54585555,https://worldcat.org/identities/lccn-no2002038813/,https://www.findagrave.com/memorial/25491093/leo-george_marie-alting_von_geusau,null,Subject of article,council,0,Netherlands,1925,2002,37,77,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=ncr19670412-01.2.8&srpos=2&e=-------en-20--1--txt-txIN-leo+alting-------,null,null,null,null,leaked the documents from the papal commission on birth control,null,"yes, married in 1981", 
Angles i Pamies,Hyginus,Higini,null,null,1,1,1,1,https://es.wikipedia.org/wiki/Higinio_Angl%C3%A9s,https://www.wikidata.org/wiki/Q1406785,http://viaf.org/viaf/54273855,https://worldcat.org/identities/lccn-n83127023/,null,null,null,council,8,Spain,1888,1969,74,81,null,null,null,https://www.cedoc.cat/images/22395/news_main_image.jpg,null,null,null,null,null,null,null,null,
Antonelli,Ferdinandus,Ferdinando,null,OFM,1,1,1,1,https://en.wikipedia.org/wiki/Ferdinando_Giuseppe_Antonelli,https://www.wikidata.org/wiki/Q1333529,http://viaf.org/viaf/37046245,https://worldcat.org/identities/lccn-nr98019338/,https://www.findagrave.com/memorial/27450116/ferdinando-giuseppe-antonelli,https://www.catholic-hierarchy.org/bishop/bantfg.html,null,council,12,Italy,1896,1993,66,97,Cardinal,null,null,null,https://en.wikipedia.org/wiki/Ferdinando_Giuseppe_Antonelli#/media/File:Ferdinando-antonelli.jpg,null,9781934888124,null,null,null,null,null,
Arrighi,Ioannes,Jean-Francois,null,OP,0,1,1,1,https://fr.wikipedia.org/wiki/Jean-Fran%C3%A7ois_Arrighi,https://www.wikidata.org/wiki/Q3165433,http://viaf.org/viaf/165654957,https://worldcat.org/identities/viaf-165654957/,null,https://www.catholic-hierarchy.org/bishop/barrighi.html,null,council,2,France,1918,1998,44,80,Bishop,null,null,https://president.georgetown.edu/wp-content/uploads/sites/37/2018/12/vatican-ii-after-fifty-years.jpg,null,null,null,null,null,null,null,null,
Augustin,Franciscus,Franciscus,null,null,0,1,1,1,https://ro.wikipedia.org/wiki/Francisc_Augustin,https://www.wikidata.org/wiki/Q12728562,http://viaf.org/viaf/183680691,null,null,null,Mentioned in article,council,1,Romania,1906,1983,56,77,null,null,null,null,null,null,null,null,null,null,null,null,political prisoner
Baker,Ioseph,Joseph,null,null,1,1,1,1,null,null,null,null,null,null,Subject of article,council,0,USA,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
Balic,Carolus,Karlo,null,OFM,1,1,1,1,https://en.wikipedia.org/wiki/Charles_Balic,https://www.wikidata.org/wiki/Q3659037,http://viaf.org/viaf/69235716,https://worldcat.org/identities/lccn-no93036594/,https://www.findagrave.com/memorial/63941196/carlo-bali%C4%87,null,null,council,6,Croatia,1899,1977,63,78,null,null,null,null,https://en.wikipedia.org/wiki/Charles_Balic#/media/File:Carlo_Balic.jpg,null,null,null,null,null,null,null,"Mariologist, leading expert on Scotus"
Bandas,Rudulfus,Rudolph,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93268211,http://viaf.org/viaf/71034895,https://worldcat.org/identities/lccn-no2001006125/,https://www.findagrave.com/memorial/92800535/rudolph-g-bandas,null,Subject of article,council,0,USA,1896,1969,66,73,null,null,null,https://1.bp.blogspot.com/-PNFfRISx1xo/X4cISnKY9eI/AAAAAAAA0os/152YX1JJmsk_XDdQLbYsWaUfjUMdi9B4gCLcBGAsYHQ/w480-h640/Bandas%2B1.jpg,null,null,null,null,no,null,null,null,
Baragli,Henricus,Enrico,null,SJ,1,1,1,1,null,https://www.wikidata.org/wiki/Q75195282,http://viaf.org/viaf/162206401,https://worldcat.org/identities/lccn-n79096936/,null,null,null,council,0,Italy,1908,2001,54,93,null,null,null,null,null,null,null,null,null,null,null,null,
Barahana,Gabriel,null,null,SJ,0,1,1,1,null,null,null,null,null,null,null,council,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Barauna,Villelmus,Guilherme,null,OFM,0,0,1,1,null,https://www.wikidata.org/wiki/Q93431793,http://viaf.org/viaf/64525404,https://worldcat.org/identities/lccn-no98115606/,null,null,null,council,0,France,1929,null,33,null,null,null,null,null,null,null,OCLC: 1508038,null,null,null,null,null,
Barbosa Rocha,Zephyrinus,Zeferino,null,null,0,0,1,1,null,null,http://viaf.org/viaf/68150565695306251339,https://www.worldcat.org/identities/viaf-68150565695306251339/,null,null,Subject of article,council,0,Brazil,1929,2016,33,87,null,null,null,null,null,null,null,null,null,null,null,null,
Barry,Gerardus,Garrett,null,OMI,1,1,1,1,null,https://www.wikidata.org/wiki/Q113791240,http://viaf.org/viaf/34080045,https://www.worldcat.org/identities/lccn-no98107239/,null,null,Mentioned in article,council,0,USA,1909,null,53,null,null,null,null,https://www.omiworld.org/wp-content/uploads/LEVASSEUR-Donat-A-History-of-the-Missionary-Oblates-of-M.I.pdf,null,null,null,typo in Weiser's list (Garret),no,null,null,null,
Barry,Michael,Michael,J,null,1,1,1,1,null,null,null,null,https://www.findagrave.com/memorial/196765699/michael-barry,null,Obituary,council,0,Canada,1926,2005,36,79,null,null,null,null,null,null,null,null,null,null,null,null,
Bartoccetti,Victorius,Vittorio,null,null,1,1,1,1,null,https://www.wikidata.org/wiki/Q93269028,http://viaf.org/viaf/77760206,https://worldcat.org/identities/lccn-n85224733/,null,null,null,council,0,Italy,1893,1963,69,70,null,null,null,null,null,died,null,null,null,null,null,null,
Baum,Gregorius,Gregory,null,OESA,1,1,1,1,https://en.wikipedia.org/wiki/Gregory_Baum,https://www.wikidata.org/wiki/Q214447,http://viaf.org/viaf/68937895,https://worldcat.org/identities/lccn-n79056156/,null,null,Obituary,council,8,Germany,1923,2017,39,94,null,null,yes,null,https://thecatholicnewsarchive.org/?a=d&d=CTR19760130-01.2.48&srpos=2&e=-------en-20--1--txt-txIN-gregory+baum-------,null,9781579921194,null,null,null,"disobedient on ordaining women, and gay marriage","yes, married woman in 1978, fell in love with a priest in 1986",
Baum,Villelmus,William,Wakefield,null,1,1,1,1,https://en.wikipedia.org/wiki/William_Wakefield_Baum,https://www.wikidata.org/wiki/Q546828,http://viaf.org/viaf/62835849,https://worldcat.org/identities/lccn-n80009904/,https://www.findagrave.com/memorial/212769335/william-wakefield-baum,https://www.catholic-hierarchy.org/bishop/bbaum.html,Subject of article,council,21,USA,1926,2015,36,89,Cardinal,null,null,null,https://en.wikipedia.org/wiki/William_Wakefield_Baum#/media/File:William_Wakefield_Baum.jpg,null,null,null,no,null,null,null, 
Beck,,Henry,GJ,null,null,null,null,null,null,null,http://viaf.org/viaf/70954937,https://www.worldcat.org/identities/lccn-no92000638/,null,null,Mentioned in article,private,0,USA,null,null,null,null,null,null,null,null,https://thecatholicnewsarchive.org/?a=d&d=ca19581003-01.2.62&srpos=4&e=-------en-20--1--txt-txIN-%22henry+beck%22~3-------,null,null,null,no,null,letter to the editor that a priest's marriage should be a private matter,null,
Bednarski,Felix,Feliks,null,OP,0,1,1,1,https://pl.wikipedia.org/wiki/Feliks_Bednarski,https://www.wikidata.org/wiki/Q9258546,http://viaf.org/viaf/84500395,https://worldcat.org/identities/lccn-n83219564/,null,null,null,council,1,Poland,1911,2006,51,95,null,null,null,https://www.flickr.com/photos/liturgiapl/6352612625/,null,null,null,null,null,null,null,null,
Behrendt,Antonius,Anton,null,null,0,0,1,1,null,null,http://viaf.org/viaf/313480707,null,null,null,Subject of article,council,0,Germany,1896,1968,66,72,null,null,null,null,null,null,null,null,null,null,null,null,
Bejan,Ovidius,Ovidius,null,null,1,1,1,1,null,null,http://viaf.org/viaf/9146522311532391441,https://worldcat.org/identities/viaf-9146522311532391441/,null,null,null,council,0,Romania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Belanger,Marcellus,Marcel,null,OMI,1,1,1,1,null,null,null,null,null,null,Mentioned in book,council,0,Canada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Belloli,Ioannes Baptista,Giovanni,Battista,null,1,1,1,1,null,null,null,null,null,null,Subject of article (encyclopedia),council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,
Beniamino,della SS. Trinita,Beniamino,null,OCD,1,1,1,1,null,null,null,null,null,null,Mentioned in article,council,0,Italy,null,null,null,null,null,null,null,null,null,null,null,null,no,null,null,null,
